epoch,loss,lr,mae,mape,mse,val_loss,val_mae,val_mape,val_mse
55,5.92736348892231e-09,1.5625e-05,3.691458914545365e-05,0.9438965916633606,5.92736348892231e-09,1.5874064729359816e-08,5.1662511395988986e-05,0.7865519523620605,1.5874064729359816e-08
56,4.222265204134601e-09,1.5625e-05,3.282718171249144e-05,0.7932300567626953,4.222265204134601e-09,1.5825872168306887e-08,5.161434455658309e-05,0.8023602366447449,1.5825872168306887e-08
57,5.867887509225511e-09,1.5625e-05,3.664384348667227e-05,0.931760847568512,5.867887509225511e-09,1.571088503737883e-08,5.136361505719833e-05,0.7847648859024048,1.571088503737883e-08
58,4.174799173028987e-09,1.5625e-05,3.267606007284485e-05,0.7866075038909912,4.174799173028987e-09,1.5665170494116865e-08,5.1335951866349205e-05,0.8030368089675903,1.5665170494116865e-08
59,5.8065472430257614e-09,1.5625e-05,3.635515531641431e-05,0.9131144285202026,5.8065472430257614e-09,1.5553238696952576e-08,5.10750433022622e-05,0.7830392122268677,1.5553238696952576e-08
60,4.1320502575104e-09,1.5625e-05,3.253695831517689e-05,0.7796918153762817,4.1320502575104e-09,1.5509680650893642e-08,5.106692333356477e-05,0.8034824728965759,1.5509680650893642e-08
61,3.858453556659924e-09,1e-05,3.1487819796893746e-05,0.8424174189567566,3.858453556659924e-09,1.53432928584607e-08,5.064461220172234e-05,0.7813051342964172,1.53432928584607e-08
62,3.7583398615481656e-09,1e-05,3.059489608858712e-05,0.6748619079589844,3.7583398615481656e-09,1.5318478929771118e-08,5.062099080532789e-05,0.7901439666748047,1.5318478929771118e-08
63,4.030921818554134e-09,1e-05,3.1514100555796176e-05,0.7164749503135681,4.030921818554134e-09,1.5255407603831372e-08,5.0515249313320965e-05,0.7919716835021973,1.5255407603831372e-08
64,3.858825703417779e-09,1e-05,3.091328835580498e-05,0.6723685264587402,3.858825703417779e-09,1.521152270811399e-08,5.043867349741049e-05,0.7934366464614868,1.521152270811399e-08
65,3.9616492308880424e-09,1e-05,3.1259805837180465e-05,0.7002875208854675,3.9616492308880424e-09,1.5151920607081593e-08,5.0334641855442896e-05,0.7936029434204102,1.5151920607081593e-08
66,3.854908836586901e-09,1e-05,3.0883409635862336e-05,0.6722730994224548,3.854908836586901e-09,1.510462865894624e-08,5.025335485697724e-05,0.7944798469543457,1.510462865894624e-08
67,3.913096069396715e-09,1e-05,3.1083327485248446e-05,0.6896806359291077,3.913096069396715e-09,1.5048271961859427e-08,5.015484202886e-05,0.7944452166557312,1.5048271961859427e-08
68,3.839680129402723e-09,1e-05,3.082397597609088e-05,0.6727752685546875,3.839680129402723e-09,1.4999971043039295e-08,5.0072230806108564e-05,0.7950013875961304,1.4999971043039295e-08
69,3.873769749418443e-09,1e-05,3.094389830948785e-05,0.6839628219604492,3.873769749418443e-09,1.4946074600175052e-08,4.997895666747354e-05,0.7950747609138489,1.4946074600175052e-08
70,3.8194514218048425e-09,1e-05,3.0751354643143713e-05,0.6734010577201843,3.8194514218048425e-09,1.489765466544668e-08,4.989742592442781e-05,0.7956671714782715,1.489765466544668e-08
71,3.8392338197468234e-09,1e-05,3.0823190172668546e-05,0.679239809513092,3.8392338197468234e-09,1.4845690898823705e-08,4.9808440962806344e-05,0.7958375215530396,1.4845690898823705e-08
72,3.796822856116933e-09,1e-05,3.067194120376371e-05,0.6731337308883667,3.796822856116933e-09,1.4797669756205778e-08,4.9726782890502363e-05,0.7962031960487366,1.4797669756205778e-08
73,3.807331339089615e-09,1e-05,3.071188257308677e-05,0.6785107851028442,3.807331339089615e-09,1.4747183030294764e-08,4.964139952789992e-05,0.796506941318512,1.4747183030294764e-08
74,3.772778534028021e-09,1e-05,3.058746369788423e-05,0.6735103130340576,3.772778534028021e-09,1.4699618411384563e-08,4.9561749619897455e-05,0.7969899773597717,1.4699618411384563e-08
75,3.777298474005875e-09,1e-05,3.060607923544012e-05,0.6774611473083496,3.777298474005875e-09,1.4650494151169369e-08,4.947885827277787e-05,0.7972673773765564,1.4650494151169369e-08
76,3.747313570556798e-09,1e-05,3.0495413739117794e-05,0.6727600693702698,3.747313570556798e-09,1.460360454785814e-08,4.940080543747172e-05,0.7976989150047302,1.460360454785814e-08
77,3.7480716308380124e-09,1e-05,3.0499393687932752e-05,0.6754255294799805,3.7480716308380124e-09,1.4555542549032907e-08,4.9321413825964555e-05,0.7982383370399475,1.4555542549032907e-08
78,3.72071129461915e-09,1e-05,3.0393654014915228e-05,0.6703543066978455,3.72071129461915e-09,1.4509266677009691e-08,4.9246984417550266e-05,0.7990717887878418,1.4509266677009691e-08
79,3.7185656776017595e-09,1e-05,3.0383906050701626e-05,0.6727026104927063,3.7185656776017595e-09,1.4462127495562527e-08,4.9170066631631926e-05,0.7996758818626404,1.4462127495562527e-08
80,3.6924192592380223e-09,1e-05,3.027614002348855e-05,0.6749066114425659,3.6924192592380223e-09,1.4416509763748309e-08,4.910015195491724e-05,0.8009776473045349,1.4416509763748309e-08
81,3.688484184749541e-09,1e-05,3.0255894671427086e-05,0.6833195686340332,3.688484184749541e-09,1.4369875955821954e-08,4.902659566141665e-05,0.8019306063652039,1.4369875955821954e-08
82,3.662387282332702e-09,1e-05,3.0143230105750263e-05,0.6858674883842468,3.662387282332702e-09,1.4324733399462275e-08,4.895837264484726e-05,0.8032737374305725,1.4324733399462275e-08
83,3.657278035973377e-09,1e-05,3.011983608303126e-05,0.6933835744857788,3.657278035973377e-09,1.4278644044907196e-08,4.888624607701786e-05,0.8042885661125183,1.4278644044907196e-08
84,3.6320157992264512e-09,1e-05,3.0012843126314692e-05,0.6931910514831543,3.6320157992264512e-09,1.4233867418056434e-08,4.881524728261866e-05,0.8051491975784302,1.4233867418056434e-08
85,3.62843599610585e-09,1e-05,2.999902244482655e-05,0.6983077526092529,3.62843599610585e-09,1.4188292318806361e-08,4.8737219913164154e-05,0.8051869869232178,1.4188292318806361e-08
86,3.6037743900152464e-09,1e-05,2.9894044928369112e-05,0.6948054432868958,3.6037743900152464e-09,1.4144065474397394e-08,4.8658061132300645e-05,0.8048316836357117,1.4144065474397394e-08
87,3.6029863537123674e-09,1e-05,2.9894204999436624e-05,0.6993678212165833,3.6029863537123674e-09,1.4099225786878833e-08,4.8574536776868626e-05,0.8039997220039368,1.4099225786878833e-08
88,3.577873775029161e-09,1e-05,2.9784892831230536e-05,0.6941030621528625,3.577873775029161e-09,1.4055674846247257e-08,4.849062315770425e-05,0.8028411865234375,1.4055674846247257e-08
